FrameID,Action,Mouse_position,execution_time
0000000091,Space,"(1604, 544)",1538255481.630101
0000000091,Space,"(1604, 544)",1538255481.6410716
0000000092,Space,"(1605, 544)",1538255481.681963
0000000092,Space,"(1605, 544)",1538255481.6929333
0000000092,Space,"(1605, 544)",1538255481.7039037
0000000092,Space,"(1605, 544)",1538255481.714874
0000000092,Space,"(1605, 544)",1538255481.7258446
0000000092,Space,"(1605, 544)",1538255481.7368157
0000000092,Space,"(1605, 544)",1538255481.7477863
0000000092,Space,"(1605, 544)",1538255481.7587569
0000000092,Space,"(1605, 544)",1538255481.7697275
0000000092,Space,"(1605, 544)",1538255481.7806983
0000000092,Space,"(1605, 544)",1538255481.791669
0000000093,Space,"(1605, 544)",1538255481.833557
0000000093,Space,"(1605, 544)",1538255481.844528
0000000093,Space,"(1605, 544)",1538255481.8554983
0000000093,Space,"(1605, 544)",1538255481.866469
0000000093,Space,"(1605, 544)",1538255481.8774397
0000000093,Space,"(1605, 544)",1538255481.88841
0000000093,Space,"(1605, 544)",1538255481.8993814
0000000093,Space,"(1605, 544)",1538255481.9103515
0000000093,Space,"(1605, 544)",1538255481.9213223
0000000093,Space,"(1605, 544)",1538255481.932293
0000000093,Space,"(1605, 544)",1538255481.9432635
0000000094,Space,"(1605, 544)",1538255481.9821599
0000000094,Space,"(1605, 544)",1538255481.9931304
0000000094,Space,"(1605, 544)",1538255482.0041008
0000000094,Space,"(1605, 544)",1538255482.0150714
0000000094,Space,"(1605, 544)",1538255482.0260422
0000000094,Space,"(1605, 544)",1538255482.037013
0000000094,Space,"(1605, 544)",1538255482.0479834
0000000094,Space,"(1605, 544)",1538255482.058954
0000000094,Space,"(1605, 544)",1538255482.0699248
0000000094,Space,"(1605, 544)",1538255482.0808952
0000000094,Space,"(1605, 544)",1538255482.0918667
0000000094,Space,"(1605, 544)",1538255482.1028364
0000000095,Space,"(1605, 544)",1538255482.1377435
0000000095,Space,"(1605, 544)",1538255482.1487145
0000000095,Space,"(1605, 544)",1538255482.1596851
0000000095,Space,"(1605, 544)",1538255482.1706555
0000000095,Space,"(1605, 544)",1538255482.1816266
0000000095,Space,"(1605, 544)",1538255482.1925967
0000000095,Space,"(1605, 544)",1538255482.203567
0000000095,Space,"(1605, 544)",1538255482.2145383
0000000095,Space,"(1605, 544)",1538255482.225509
0000000095,Space,"(1605, 544)",1538255482.2364793
0000000095,Space,"(1605, 544)",1538255482.24745
0000000096,Space,"(1605, 544)",1538255482.280362
0000000096,Space,"(1605, 544)",1538255482.2913334
0000000096,Space,"(1605, 544)",1538255482.3023038
0000000096,Space,"(1605, 544)",1538255482.3132741
0000000096,Space,"(1605, 544)",1538255482.3242445
0000000096,Space,"(1605, 544)",1538255482.3352156
0000000096,Space,"(1605, 544)",1538255482.346186
0000000096,Space,"(1605, 544)",1538255482.3571572
0000000096,Space,"(1605, 544)",1538255482.3681269
0000000096,Space,"(1605, 544)",1538255482.3790982
0000000096,Space,"(1605, 544)",1538255482.390069
0000000096,Space,"(1605, 544)",1538255482.4010396
0000000097,Space,"(1605, 544)",1538255482.4369433
0000000097,Space,"(1605, 544)",1538255482.4479141
0000000097,Space,"(1605, 544)",1538255482.4588852
0000000097,Space,"(1605, 544)",1538255482.4698553
0000000097,Space,"(1605, 544)",1538255482.4808261
0000000097,Space,"(1605, 544)",1538255482.4917965
0000000097,Space,"(1605, 544)",1538255482.5027676
0000000097,Space,"(1605, 544)",1538255482.513738
0000000097,Space,"(1605, 544)",1538255482.5247085
0000000097,Space,"(1605, 544)",1538255482.5356793
0000000097,Space,"(1605, 544)",1538255482.54665
0000000097,Space,"(1605, 544)",1538255482.5576205
0000000098,Space,"(1605, 544)",1538255482.5865433
0000000098,Space,"(1605, 544)",1538255482.5975142
0000000098,Space,"(1605, 544)",1538255482.6084845
0000000098,Space,"(1605, 544)",1538255482.6194553
0000000098,Space,"(1605, 544)",1538255482.630426
0000000098,Space,"(1605, 544)",1538255482.6413968
0000000098,Space,"(1605, 544)",1538255482.6523674
0000000098,Space,"(1605, 544)",1538255482.663338
0000000098,Space,"(1605, 544)",1538255482.6743085
0000000098,Space,"(1605, 544)",1538255482.6852791
0000000098,Space,"(1605, 544)",1538255482.6962502
